Date,NDX Volume,NDX Price
2018-02-12,2240420000,6523.8501
2018-02-13,1816670000,6553.8599
2018-02-14,2211460000,6675.0298
2018-02-15,2110700000,6794.9199
2018-02-16,2019830000,6770.6602
2018-02-20,1911170000,6779.6899
2018-02-21,1946010000,6759.2598
2018-02-22,1911900000,6761.8501
2018-02-23,1879460000,6896.6001
2018-02-26,1866610000,6989.1001
2018-02-27,2155850000,6900.3501
2018-02-28,2373880000,6854.4199
2018-03-01,2489040000,6750.5400
2018-03-02,2287320000,6811.0400
2018-03-05,2066350000,6881.2798
2018-03-06,2112570000,6913.0200
2018-03-07,2192230000,6929.3901
2018-03-08,2272110000,6966.4302
2018-03-09,2302930000,7101.1802
2018-03-12,2294440000,7131.1201
2018-03-13,2448830000,7046.5098
2018-03-14,440659533,7038.6377
