,Date,TextBlob,Vader,SPX Volume,SPX Price,DJI Volume,DJI Price,NDX Volume,NDX Price
0,2018-02-12,0,0,4055790000.0,2656.00,496610000.0,24601.27,2240420000.0,6523.85
1,2018-02-13,0,0,3472870000.0,2662.94,374410000.0,24640.45,1816670000.0,6553.86
2,2018-02-14,0,0,4003740000.0,2698.63,431160000.0,24893.49,2211460000.0,6675.03
3,2018-02-15,0,0,3684910000.0,2731.20,416780000.0,25200.37,2110700000.0,6794.92
4,2018-02-16,0,0,3637460000.0,2732.22,406730000.0,25219.38,2019830000.0,6770.66
5,2018-02-20,0,0,3627610000.0,2716.26,421510000.0,24964.75,1911170000.0,6779.69
6,2018-02-21,0,0,3779400000.0,2701.33,456070000.0,24797.78,1946010000.0,6759.26
7,2018-02-22,0,0,3701270000.0,2703.96,378900000.0,24962.48,1911900000.0,6761.85
8,2018-02-23,0.067,0.055,3189190000.0,2747.30,335420000.0,25309.99,1879460000.0,6896.60
9,2018-02-24,0.033,0.044,0.0,0,0.0,0,0.0,0
10,2018-02-25,0.066,0.141,0.0,0,0.0,0,0.0,0
11,2018-02-26,0.043,0.037,3424650000.0,2779.60,473360000.0,25709.27,1866610000.0,6989.10
12,2018-02-27,0.045,0.032,3745080000.0,2744.28,438390000.0,25410.03,2155850000.0,6900.35
13,2018-02-28,0.062,-0.025,4230660000.0,2713.83,451870000.0,25029.20,2373880000.0,6854.42
14,2018-03-01,0.051,-0.031,4503970000.0,2677.67,506280000.0,24608.98,2489040000.0,6750.54
15,2018-03-02,0.018,-0.027,3882450000.0,2691.25,437130000.0,24538.06,2287320000.0,6811.04
16,2018-03-03,0.055,-0.006,0.0,0,0.0,0,0.0,0
17,2018-03-04,0.055,0.015,0.0,0,0.0,0,0.0,0
18,2018-03-05,0.058,-0.012,3710810000.0,2720.94,383910000.0,24874.76,2066350000.0,6881.28
19,2018-03-06,0.060,0.027,3370690000.0,2728.12,331770000.0,24884.12,2112570000.0,6913.02
20,2018-03-07,0.045,0.018,3393270000.0,2726.80,394070000.0,24801.36,2192230000.0,6929.39
21,2018-03-08,0.043,0.025,3212320000.0,2738.97,327300000.0,24895.21,2272110000.0,6966.43
22,2018-03-09,0.067,0.049,3364100000.0,2786.57,371570000.0,25335.74,2302930000.0,7101.18
23,2018-03-10,0.090,0.071,0.0,0,0.0,0,0.0,0
24,2018-03-11,0.046,0.012,0.0,0,0.0,0,0.0,0
25,2018-03-12,0.105,0.079,3185020000.0,2783.02,362580000.0,25178.61,2294440000.0,7131.12
26,2018-03-13,0.107,0.087,3301650000.0,2765.31,447880000.0,25007.03,2448830000.0,7046.51
27,2018-03-14,0.064,0.027,1565631792.0,2748.58,256347604.0,24755.42,440659533.0,7038.64
