Date,TextBlob,Vader
2018-02-14,0.047,0.058
2018-02-15,0.016,-0.024
2018-02-16,0.026,0.011
2018-02-17,0.046,0.026
2018-02-18,-0.001,-0.031
2018-02-19,0.026,0.000
2018-02-20,0.019,0.011
2018-02-21,-0.001,0.009
2018-02-22,0.010,0.019
2018-02-23,0.013,-0.030
2018-02-24,0.034,-0.042
2018-02-25,0.041,-0.020
2018-02-26,0.027,0.032
2018-02-27,0.031,0.018
2018-02-28,0.002,-0.007
2018-03-01,0.012,-0.008
2018-03-02,0.023,-0.081
2018-03-03,0.050,0.076
2018-03-04,0.016,-0.106
2018-03-05,0.060,-0.015
2018-03-06,0.043,-0.015
2018-03-07,0.009,-0.051
2018-03-08,0.016,0.007
2018-03-09,0.011,0.005
2018-03-10,0.053,0.012
2018-03-11,0.042,-0.155
2018-03-12,0.012,-0.035
2018-03-13,0.023,-0.054
2018-03-14,0.036,0.002
