Date,TextBlob,Vader
2018-02-20,0.099,-0.051
2018-02-21,0.087,0.055
2018-02-22,0.033,0.026
2018-02-23,0.051,-0.073
2018-02-24,0.058,0.036
2018-02-25,0.131,0.067
2018-02-26,0.086,0.015
2018-02-27,0.085,0.014
2018-02-28,0.087,-0.001
2018-03-01,0.079,-0.012
2018-03-02,0.071,-0.026
2018-03-03,0.063,-0.039
2018-03-04,0.051,0.022
2018-03-05,0.221,0.222
2018-03-06,0.006,-0.043
2018-03-07,0.076,-0.008
2018-03-08,0.073,0.004
2018-03-09,0.034,-0.052
2018-03-10,0.106,-0.085
2018-03-11,0.097,0.021
2018-03-12,0.053,-0.027
2018-03-13,0.057,-0.038
2018-03-14,0.101,-0.045
