Date,TextBlob,Vader
2018-02-15,0.079,-0.043
2018-02-16,0.052,-0.040
2018-02-17,0.069,0.060
2018-02-18,0.048,0.086
2018-02-19,0.061,0.108
2018-02-20,0.068,0.045
2018-02-21,0.071,0.011
2018-02-22,0.091,0.007
2018-02-23,0.056,0.052
2018-02-24,0.104,0.070
2018-02-25,0.094,0.028
2018-02-26,0.065,0.069
2018-02-27,0.071,0.023
2018-02-28,0.057,0.024
2018-03-01,0.080,-0.027
2018-03-02,0.017,-0.025
2018-03-03,0.100,0.011
2018-03-04,0.057,0.099
2018-03-05,0.073,0.020
2018-03-06,0.049,0.012
2018-03-07,0.051,-0.018
2018-03-08,0.053,-0.010
2018-03-09,0.079,0.057
2018-03-10,0.068,0.011
2018-03-11,0.107,0.072
2018-03-12,0.081,-0.029
2018-03-13,0.050,-0.033
2018-03-14,0.043,-0.027
