Date,TextBlob,Vader
2017-08-21,0.013,0.097
2017-08-22,0.149,0.073
2017-08-23,0.163,0.157
2017-08-24,0.109,0.082
2017-08-25,0.024,0.064
2017-08-26,0.071,-0.029
2017-08-27,0.115,0.073
2017-08-28,0.022,-0.009
2017-08-29,0.178,0.224
2017-08-30,0.097,-0.038
2017-08-31,0.008,0.092
2017-09-01,0.105,0.056
2017-09-02,0.010,0.112
2017-09-03,0.079,0.028
2017-09-04,0.104,0.223
2017-09-05,0.054,0.031
2017-09-06,0.028,-0.021
2017-09-07,0.131,0.096
2017-09-08,0.008,-0.061
2017-09-09,0.025,0.079
2017-09-10,0.158,0.091
2017-09-11,0.044,0.060
2017-09-12,0.050,0.094
2017-09-13,0.072,0.103
2017-09-14,0.212,-0.096
2017-09-15,0.037,0.094
2017-09-16,0.063,0.094
2017-09-17,0.000,0.232
2017-09-18,0.111,0.175
2017-09-19,0.059,-0.067
2017-09-20,0.044,0.117
2017-09-21,0.099,0.023
2017-09-22,0.070,-0.013
2017-09-23,0.129,0.191
2017-09-24,0.106,0.214
2017-09-25,-0.005,0.169
2017-09-26,-0.044,0.035
2017-09-27,0.047,0.136
2017-09-28,0.020,0.010
2017-09-29,0.051,0.098
2017-09-30,0.038,0.062
2017-10-01,0.075,0.099
2017-10-02,0.008,0.155
2017-10-03,0.188,0.225
2017-10-04,0.022,0.078
2017-10-05,0.030,0.088
2017-10-06,0.003,0.036
2017-10-07,0.077,0.049
2017-10-08,0.079,0.062
2017-10-09,0.049,0.058
2017-10-10,0.041,0.165
2017-10-11,0.077,0.068
2017-10-12,0.107,0.016
2017-10-13,0.082,0.059
2017-10-14,0.112,-0.016
2017-10-15,0.225,0.463
2017-10-16,0.046,0.055
2017-10-17,0.093,0.063
2017-10-18,0.117,0.034
2017-10-19,-0.013,-0.126
2017-10-20,0.086,0.080
2017-10-21,0.040,0.128
2017-10-22,0.122,0.059
2017-10-23,0.014,0.118
2017-10-24,0.122,0.034
2017-10-25,0.038,0.054
2017-10-26,-0.071,0.034
2017-10-27,0.093,0.204
2017-10-28,0.051,0.156
2017-10-29,0.060,0.046
2017-10-30,0.051,0.067
2017-10-31,0.125,0.236
2017-11-01,0.011,0.024
2017-11-02,0.001,0.070
2017-11-03,0.091,-0.006
2017-11-04,0.120,0.126
2017-11-05,0.049,0.005
2017-11-06,0.046,-0.016
2017-11-07,0.012,-0.131
2017-11-08,0.137,0.087
2017-11-09,0.030,0.054
2017-11-10,0.133,0.059
2017-11-11,0.027,0.011
2017-11-12,0.254,0.304
2017-11-13,0.076,0.049
2017-11-14,0.158,0.115
2017-11-15,-0.060,0.082
2017-11-16,0.022,-0.035
2017-11-17,0.123,0.091
2017-11-18,0.043,0.192
2017-11-19,0.035,0.099
2017-11-20,0.059,0.147
2017-11-21,0.055,0.012
2017-11-22,0.033,0.105
2017-11-23,-0.053,0.009
2017-11-24,0.015,0.157
2017-11-25,0.022,0.065
2017-11-26,0.071,0.024
2017-11-27,0.084,0.058
2017-11-28,0.085,0.063
2017-11-29,0.157,0.056
2017-11-30,0.006,0.002
2017-12-01,0.150,0.114
2017-12-02,0.304,0.299
2017-12-03,0.178,0.061
2017-12-04,0.016,0.095
2017-12-05,0.090,0.128
2017-12-06,0.200,0.298
2017-12-07,0.089,0.057
2017-12-08,0.157,0.120
2017-12-09,0.021,-0.000
2017-12-10,0.122,0.099
2017-12-11,0.061,0.126
2017-12-12,0.143,0.071
2017-12-13,0.052,0.125
2017-12-14,0.089,0.133
2017-12-15,0.033,0.080
2017-12-16,0.141,0.087
2017-12-17,0.193,0.113
2017-12-18,0.108,0.013
2017-12-19,0.077,0.140
2017-12-20,0.114,0.231
2017-12-21,0.066,0.053
2017-12-22,0.213,0.116
2017-12-23,0.002,0.085
2017-12-24,0.077,0.043
2017-12-25,0.106,0.073
2017-12-26,0.054,0.008
2017-12-27,0.014,0.090
2017-12-28,-0.064,-0.076
2017-12-29,0.079,0.103
2017-12-30,0.072,0.069
2017-12-31,0.187,0.215
2018-01-01,0.175,0.382
2018-01-02,0.046,0.102
2018-01-03,0.068,0.096
2018-01-04,0.127,0.065
2018-01-05,0.077,0.002
2018-01-06,0.078,0.078
2018-01-07,0.169,0.308
2018-01-08,-0.008,-0.126
2018-01-09,0.063,0.161
2018-01-10,0.051,0.106
2018-01-11,0.090,0.058
2018-01-12,0.168,0.193
2018-01-13,0.086,0.228
2018-01-14,0.003,0.064
2018-01-15,0.041,0.049
2018-01-16,0.054,0.055
2018-01-17,0.117,0.097
2018-01-18,0.074,0.079
2018-01-19,0.092,0.053
2018-01-20,0.124,0.066
2018-01-21,0.285,0.194
2018-01-22,0.067,0.095
2018-01-23,0.057,0.098
2018-01-24,0.113,0.263
2018-01-25,0.025,0.055
2018-01-26,-0.058,0.170
2018-01-27,0.156,0.089
2018-01-28,0.050,0.013
2018-01-29,0.167,0.115
2018-01-30,0.134,0.019
2018-01-31,0.018,0.067
2018-02-01,0.066,0.174
2018-02-02,0.161,0.004
2018-02-03,0.080,0.138
2018-02-04,0.142,0.179
2018-02-05,0.097,0.220
2018-02-06,0.051,0.110
2018-02-07,0.214,0.293
2018-02-08,0.119,0.180
2018-02-09,0.128,0.048
2018-02-10,-0.025,-0.098
2018-02-11,0.039,0.017
2018-02-12,0.052,-0.086
2018-02-13,-0.003,-0.051
2018-02-14,0.075,0.030
2018-02-15,0.053,0.135
2018-02-16,0.037,-0.035
2018-02-17,0.008,-0.026
2018-02-18,0.017,0.010
2018-02-19,0.136,0.272
2018-02-20,-0.062,-0.010
2018-02-21,0.129,-0.015
2018-02-22,0.039,0.174
2018-02-23,0.172,0.142
2018-02-24,0.018,0.205
2018-02-25,0.111,0.011
2018-02-26,0.006,0.013
2018-02-27,0.093,0.034
2018-02-28,-0.017,0.030
2018-03-01,0.006,0.090
2018-03-02,0.174,0.062
2018-03-03,0.144,0.052
2018-03-04,0.037,-0.037
2018-03-05,0.019,-0.036
2018-03-06,0.056,0.159
2018-03-07,0.007,-0.017
2018-03-08,0.074,0.115
2018-03-09,0.129,0.181
2018-03-10,0.184,0.070
2018-03-11,0.080,0.055
