Date,TextBlob,Vader
2018-02-15,0.165,0.149
2018-02-16,0.061,0.030
2018-02-17,0.084,0.023
2018-02-18,0.067,0.034
2018-02-19,0.055,0.036
2018-02-20,0.064,0.073
2018-02-21,0.071,0.105
2018-02-22,0.073,0.075
2018-02-23,0.060,-0.080
2018-02-24,0.097,0.065
2018-02-25,0.070,0.016
2018-02-26,0.054,-0.021
2018-02-27,0.075,0.006
2018-02-28,0.056,0.047
2018-03-01,0.094,0.029
2018-03-02,0.104,-0.009
2018-03-03,0.091,0.030
2018-03-04,0.162,0.020
2018-03-05,0.147,0.082
2018-03-06,0.098,-0.017
2018-03-07,0.068,0.008
2018-03-08,0.054,0.007
2018-03-09,0.064,0.039
2018-03-10,0.100,0.080
2018-03-11,0.051,0.037
2018-03-12,0.040,-0.067
2018-03-13,0.074,-0.033
2018-03-14,0.047,-0.074
