Date,TextBlob,Vader
2017-12-16,0.133,0.567
2017-12-17,0.163,0.276
2017-12-18,0.190,0.059
2017-12-19,0.104,0.166
2017-12-20,0.146,0.142
2017-12-21,0.191,0.200
2017-12-22,0.048,0.168
2017-12-23,0.152,0.150
2017-12-24,0.144,0.217
2017-12-25,0.310,0.286
2017-12-26,0.173,0.164
2017-12-27,0.078,0.161
2017-12-28,0.122,0.169
2017-12-29,0.116,0.153
2017-12-30,0.214,0.193
2017-12-31,0.122,0.107
2018-01-01,0.117,0.151
2018-01-02,0.094,0.214
2018-01-03,0.111,0.092
2018-01-04,0.101,0.106
2018-01-05,0.055,0.065
2018-01-06,0.123,0.231
2018-01-07,0.079,0.068
2018-01-08,0.035,0.067
2018-01-09,0.132,0.128
2018-01-10,0.128,0.137
2018-01-11,0.128,0.154
2018-01-12,0.098,0.135
2018-01-13,0.013,0.175
2018-01-14,0.132,0.095
2018-01-15,0.107,0.080
2018-01-16,0.199,0.257
2018-01-17,0.131,0.077
2018-01-18,0.167,0.172
2018-01-19,0.153,0.129
2018-01-20,0.149,0.158
2018-01-21,0.169,0.248
2018-01-22,0.133,0.190
2018-01-23,0.099,0.103
2018-01-24,0.123,0.031
2018-01-25,0.086,-0.115
2018-01-26,0.034,0.118
2018-01-27,0.128,0.029
2018-01-28,0.037,0.137
2018-01-29,0.007,-0.042
2018-01-30,0.123,0.164
2018-01-31,0.168,0.149
2018-02-01,0.166,0.243
2018-02-02,0.075,0.085
2018-02-03,0.090,0.076
2018-02-04,0.153,0.069
2018-02-05,0.108,0.153
2018-02-06,0.115,0.064
2018-02-07,0.078,0.134
2018-02-08,0.102,0.124
2018-02-09,0.143,0.170
2018-02-10,0.141,0.150
2018-02-11,0.094,0.137
2018-02-12,0.109,0.064
2018-02-13,0.063,0.164
2018-02-14,0.190,0.240
2018-02-15,0.069,0.009
2018-02-16,0.110,0.141
2018-02-17,0.134,0.046
2018-02-18,0.061,0.086
2018-02-19,0.111,0.120
2018-02-20,0.099,0.121
2018-02-21,0.046,-0.005
2018-02-22,0.089,0.179
2018-02-23,0.163,0.125
2018-02-24,0.174,0.145
2018-02-25,0.072,-0.042
2018-02-26,0.177,0.151
2018-02-27,0.084,0.054
2018-02-28,0.179,0.181
2018-03-01,0.104,0.097
2018-03-02,0.165,0.148
2018-03-03,0.146,0.073
2018-03-04,0.083,0.206
2018-03-05,0.139,0.152
2018-03-06,0.151,0.198
2018-03-07,0.121,0.106
2018-03-08,0.119,0.154
2018-03-09,0.155,0.174
2018-03-10,0.129,0.139
2018-03-11,0.181,0.093
2018-03-12,0.181,0.106
2018-03-13,0.067,0.067
2018-03-14,0.044,-0.059
